Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"323 Gowan Road, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132906518,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Shirley Chow,https://i2.au.reastatic.net/150x200/bc0c32160b560b8559d7868d205f7fa1afb5f55132106e4110d75e27b39cd20c/main.jpg,Sold,"$625,000",4,2,2,655,m²,House,Sold on 17 Apr 2020
"23 Christopher Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132298602,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Shirley Chow,https://i2.au.reastatic.net/150x200/bc0c32160b560b8559d7868d205f7fa1afb5f55132106e4110d75e27b39cd20c/main.jpg,Sold,"$570,000",3,2,1,589,m²,House,Sold on 14 Apr 2020
"32 Park Avenue, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132824614,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Gordon Sui,https://i2.au.reastatic.net/150x200/f4bbb1d7f1fcee5076038fb618684909e4561042c51dc9cdb59e95ad9b8e7844/main.jpg,Sold,"$1,182,000",6,3,5,867,m²,House,Sold on 06 Apr 2020
"15 Lynelle Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-133017710,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Owen Chen,https://i2.au.reastatic.net/150x200/a8b36d058103a0a238322f816843e062ddbc23c08471450ee4ff93f35fb0731f/main.jpg,Sold,"$770,000",4,2,2,600,m²,House,Sold on 06 Apr 2020
"3/24 Radan Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-townhouse-qld-sunnybank+hills-131591258,https://i2.au.reastatic.net/340x64/530f4c9b8f30b72e42e960cdf8d1a22a8d19ac590650f2afffd2c7fe69f71616/logo.gif,Tom Zhang,https://i2.au.reastatic.net/150x200/efdce063c147e81d72f1a7115179be4faeca57fbe6ae0b810f1008582181b18b/main.jpg,Sold,"$485,000",3,2,1,251,m²,Townhouse,Sold on 01 Apr 2020
"83 Driftwood Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132758962,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,,,Sold,"$595,000",4,2,2,664,m²,House,Sold on 30 Mar 2020
"8/139 Pinelands Road, Sunnybank Hills",https://www.realestate.com.au/sold/property-villa-qld-sunnybank+hills-132765034,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Peter Son,https://i2.au.reastatic.net/150x200/4784b3db60de94459c5080da1ba83a9d99d8e863448fa90f89e9f14ab4c475d0/main.jpg,Sold,"$505,000",4,2,2,361,m²,Villa,Sold on 25 Mar 2020
"12 Snowberry Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132778734,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Shirley Chow,https://i2.au.reastatic.net/150x200/bc0c32160b560b8559d7868d205f7fa1afb5f55132106e4110d75e27b39cd20c/main.jpg,Sold,"$688,000",4,2,2,652,m²,House,Sold on 24 Mar 2020
"7 Adios Close, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-132895030,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Kosma Comino,https://i2.au.reastatic.net/150x200/2b7e92980c28d288ee3d07a0c0b432d367cc09cfd92f9b27133e385899480932/main.jpg,Sold,"$1,080,000",5,3,4,978,m²,House,Sold on 20 Mar 2020
"22 Ravenala Street, Sunnybank Hills",https://www.realestate.com.au/sold/property-house-qld-sunnybank+hills-133002674,https://i2.au.reastatic.net/340x64/b94f89e3205072f66e7bfdce370afc772a4a23e04b6092dda8c7fbaceaa1198e/logo.gif,Elizabeth Wright,https://i2.au.reastatic.net/150x200/e256f0307458a4e54130524f046d7f8e840d03ce4035d7117b8eefb2751da0ce/main.jpg,Sold,"$675,000",4,3,2,557,m²,House,Sold on 20 Mar 2020
