Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"24/82 Daw Road, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-129036390,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Tony Xu,https://i2.au.reastatic.net/150x200/8ca46e71aa8540b7eec2e197ec93cd800e7abc5e56dbec64a0736fe7883375f7/main.jpg,Sold,"$360,000",3,2,1,134,m²,Townhouse,Sold on 20 Oct 2018
"35 Esperance Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-129170982,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Peter Florentzos,https://i2.au.reastatic.net/150x200/84ea12367769ad5dbeb41bbefb7309721995ae91c7f6a2b1a5020cd2fc86afde/main.jpg,Sold,"$600,000",4,2,4,"1,140",m²,House,Sold on 18 Oct 2018
"10/82 Daw Road, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-128424402,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Gaby McEwan,https://i2.au.reastatic.net/150x200/f15c606f1930a6ec8cb8aa69185bceef4deaf6e070b7fb1e775c5ec50013be40/main.jpg,Sold,"$365,000",3,2,2,,,Townhouse,Sold on 16 Oct 2018
"47/8 Diamond Place, Runcorn",https://www.realestate.com.au/sold/property-villa-qld-runcorn-128776350,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ela Milne,https://i2.au.reastatic.net/150x200/fdd2bea0f4b8eb79cfa4c0c54670ecea5d761c92b5612d97863c2f145ee1d54f/main.jpg,Sold,"$363,500",3,2,1,,,Villa,Sold on 15 Oct 2018
"34/52 Daw Road, Runcorn",https://www.realestate.com.au/sold/property-villa-qld-runcorn-128759330,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ela Milne,https://i2.au.reastatic.net/150x200/fdd2bea0f4b8eb79cfa4c0c54670ecea5d761c92b5612d97863c2f145ee1d54f/main.jpg,Sold,"$355,000",3,2,1,,,Villa,Sold on 15 Oct 2018
"81 Warrigal Road, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-129232674,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Cathy Cheng,https://i2.au.reastatic.net/150x200/fa71a31a5b99a0ce4d7430990b050abadd95a220974c63b15821bbe98168d666/main.jpg,Sold,"$775,000",4,3,3,852,m²,House,Sold on 11 Oct 2018
"32/25 Silkyoak Street, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-129303102,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Renee Huang,https://i2.au.reastatic.net/150x200/59cbb1fe4286770c590b1e94608c071042f995817b09ad2a1deb33042881891e/main.jpg,Sold,"$435,000",3,2,2,,,Townhouse,Sold on 10 Oct 2018
"34 Kyabra Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-129267782,https://i2.au.reastatic.net/340x64/3fbb0a1151f78609d030b6d209df92eb1f048c70a965d23618004befe58575a8/logo.jpg,Clint Ferguson,https://i2.au.reastatic.net/150x200/008fe66ff87f624092bae04a340ffb1bbc2ae9e999feafd18c61a6c75dd78eec/main.jpg,Sold,"$725,000",5,2,2,700,m²,House,Sold on 09 Oct 2018
"50 Condamine Street, Runcorn",https://www.realestate.com.au/sold/property-house-qld-runcorn-129169942,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,,,Sold,"$535,000",3,1,2,555,m²,House,Sold on 03 Oct 2018
"84/134 Hill Road, Runcorn",https://www.realestate.com.au/sold/property-townhouse-qld-runcorn-127603714,https://i2.au.reastatic.net/340x64/3bfd13bf06c0b6cd5d2df00fc8cca20facbf979baccf2626c8bc7eacdebd1385/logo.gif,Jennifer Qian,https://i2.au.reastatic.net/150x200/3bfa6f362c8a89e3f7e3e7ab275b6b44ce5f9e18fed363bb369c95831a02585b/main.jpg,Sold,"$310,500",3,2,1,198,m²,Townhouse,Sold on 30 Sep 2018
