Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Bedrooms,Bathrooms,Car_park,Size_unit,Type,Sold_date,Suburb,Price,Size,Sold_year
"76 Sunflower Crescent, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-132210190,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Jason Song,https://i2.au.reastatic.net/150x200/486f78bcd2dbd6b3d6ea693e89b0fa02b17dad40b1a666cb1ea6ea0d9fdf378d/main.jpg,Sold,4.0,3.0,2.0,m²,House,2019-12-03, Calamvale,832000.0,805.0,2019
"22 Harvey Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131903386,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Jackson Chow,https://i2.au.reastatic.net/150x200/4a6873ec60a3c421dadb9835ca1e139a3de77b6b3d1f5a181424e06a9896ff92/main.jpg,Sold,5.0,3.0,2.0,m²,House,2019-11-25, Calamvale,788000.0,458.0,2019
"3 Cibo Court, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-132293370,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Owen Chen,https://i2.au.reastatic.net/150x200/a8b36d058103a0a238322f816843e062ddbc23c08471450ee4ff93f35fb0731f/main.jpg,Sold,4.0,2.0,2.0,m²,House,2019-11-25, Calamvale,580000.0,811.0,2019
"16 Gould Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-132206370,https://i2.au.reastatic.net/340x64/5bfcf231765db34925503c00c402a4dcf76c9f70e4cadad99d81ce8a4b635137/logo.jpg,Adam Muntazir,https://i2.au.reastatic.net/150x200/3e0a4eb5d1e0b613b07c15ac40c8834a75361e1fb247fdf8885b09fdd1f4f975/main.jpg,Sold,4.0,2.0,2.0,m²,House,2019-11-21, Calamvale,590000.0,571.0,2019
"82/9 Eduard Place, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-131358038,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Jess Chia,https://i2.au.reastatic.net/150x200/e08e0effa5268afa8cd83747c84f88dc8775bd4801c193db0710e066c742de79/main.jpg,Sold,3.0,2.0,2.0,m²,Townhouse,2019-11-18, Calamvale,392000.0,0.0,2019
"21/8 Earnshaw Street, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-131809786,https://i2.au.reastatic.net/340x64/f478bbd2149fd4118389afdb236cdff40d5bab19dd4ccb09383a4684cb9cd0db/logo.jpg,Bev Kinghorn,https://i2.au.reastatic.net/150x200/8d3e6f9d4e0b73f50037858ed2df9b2d9da0570794ce0531f046d96bdfa3213b/main.jpg,Sold,3.0,2.0,1.0,m²,Townhouse,2019-11-18, Calamvale,288500.0,0.0,2019
"64 Alfred Circuit, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131748606,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,5.0,3.0,4.0,m²,House,2019-11-15, Calamvale,948888.0,709.0,2019
"14 Scarlet Oak Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-132007974,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,4.0,2.0,0.0,m²,House,2019-11-15, Calamvale,550000.0,546.0,2019
"38 Raincliffe Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-132005114,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Jackson Chow,https://i2.au.reastatic.net/150x200/4a6873ec60a3c421dadb9835ca1e139a3de77b6b3d1f5a181424e06a9896ff92/main.jpg,Sold,4.0,2.0,2.0,m²,House,2019-11-13, Calamvale,710000.0,800.0,2019
"46 Currajong Street, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-131852034,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,5.0,3.0,2.0,m²,House,2019-11-11, Calamvale,775000.0,709.0,2019
