Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"31/88 Shelduck Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126132022,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Martin Ma,https://i2.au.reastatic.net/150x200/5de845c8c3f1f16d54e4c8f0079deb64b90a1cf8cf053f3e777e965972949af1/main.jpg,Sold,"$350,000",3,2,1,,,House,Sold on 02 Jan 2018
"19 Hickory Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126975734,,,,Sold,"$684,000",5,2,2,,,House,Sold on 25 Dec 2017
"21 Dennis Close, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126351118,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Owen Chen,https://i2.au.reastatic.net/150x200/a8b36d058103a0a238322f816843e062ddbc23c08471450ee4ff93f35fb0731f/main.jpg,Sold,"$826,800",5,2,2,750,m²,House,Sold on 22 Dec 2017
"7 Golden Avenue, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126766934,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Owen Chen,https://i2.au.reastatic.net/150x200/a8b36d058103a0a238322f816843e062ddbc23c08471450ee4ff93f35fb0731f/main.jpg,Sold,"$700,888",4,2,2,705,m²,House,Sold on 22 Dec 2017
"24 Khoo Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126978626,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Owen Chen,https://i2.au.reastatic.net/150x200/a8b36d058103a0a238322f816843e062ddbc23c08471450ee4ff93f35fb0731f/main.jpg,Sold,"$628,000",4,2,2,450,m²,House,Sold on 22 Dec 2017
"3/11 Pyranees Street, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-126578078,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,,,Sold,"$363,000",3,2,2,184,m²,Townhouse,Sold on 22 Dec 2017
"4/10 Highgrove Street, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126890006,https://i2.au.reastatic.net/340x64/91a8160f9d13c61b4dd5eab708a70e8fc0f390082208f2e1191fa2e8af00f043/logo.jpg,EMMA WALTER,https://i2.au.reastatic.net/150x200/e4191f782b642128f19c7844ca55c95fb1332b79f183976a85bae5384537fe28/main.jpg,Sold,"$344,500",3,2,1,136,m²,House,Sold on 22 Dec 2017
"30/9 Eduard Place, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-125964746,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Zishaan Omar,https://i2.au.reastatic.net/150x200/69a4fec09f67030e7d7d0ddf31b84beb7c9fcfc1d6930e729d046deaf2a5f369/main.jpg,Sold,"$420,000",3,2,2,153,m²,Townhouse,Sold on 18 Dec 2017
"19/18 Diane Court, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-126966354,https://i2.au.reastatic.net/340x64/5bfcf231765db34925503c00c402a4dcf76c9f70e4cadad99d81ce8a4b635137/logo.jpg,David Hills,https://i2.au.reastatic.net/150x200/65e2ba9d626ee03c8e99a3fcfeefcae6ebfec7baf83332736cf57a5f11bdc3c8/main.jpg,Sold,"$335,000",3,2,1,134,m²,Townhouse,Sold on 11 Dec 2017
"5 Carnation Crescent, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126960246,,,,Sold,"$720,000",5,3,2,790,m²,House,Sold on 07 Dec 2017
"10 Montana Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126441682,https://i2.au.reastatic.net/340x64/4de38f76f5adbdfc7dd57f63fb3728b94c415bd07c974535a3e742ef5844b9bb/logo.jpg,Patrick McLean,https://i2.au.reastatic.net/150x200/f966e4596a4c9513bfb35bf34c7719110e7f4ef9283282534098b7eeaff172e8/main.jpg,Sold,"$630,000",4,2,2,570,m²,House,Sold on 04 Dec 2017
"7 Durre Street, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126895942,https://i2.au.reastatic.net/340x64/5bfcf231765db34925503c00c402a4dcf76c9f70e4cadad99d81ce8a4b635137/logo.jpg,Adam Muntazir,https://i2.au.reastatic.net/150x200/3e0a4eb5d1e0b613b07c15ac40c8834a75361e1fb247fdf8885b09fdd1f4f975/main.jpg,Sold,"$581,000",4,2,2,451,m²,House,Sold on 04 Dec 2017
"47 Begonia Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126771074,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Aaron Woolard,https://i2.au.reastatic.net/150x200/1cf2c03bf5c0f196d97e69a38c6ba08ea5ed3b7be44de046099ded38c02cc642/main.jpg,Sold,"$750,888",4,2,2,899,m²,House,Sold on 01 Dec 2017
"98 Menser St, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126847794,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Martin Ma,https://i2.au.reastatic.net/150x200/5de845c8c3f1f16d54e4c8f0079deb64b90a1cf8cf053f3e777e965972949af1/main.jpg,Sold,"$1,150,000",7,5,5,"1,672",m²,House,Sold on 29 Nov 2017
"37/50 Perkins Street, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-126410494,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Karl Gillespie,https://i2.au.reastatic.net/150x200/f5e6d6853b48b6a024fda5d0155ba60e23475aebca7fba76f281a8b7462d9b85/main.jpg,Sold,"$395,000",3,2,2,182,m²,Townhouse,Sold on 29 Nov 2017
"1 Violet Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126747314,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Jackson Chow,https://i2.au.reastatic.net/150x200/4a6873ec60a3c421dadb9835ca1e139a3de77b6b3d1f5a181424e06a9896ff92/main.jpg,Sold,"$720,000",5,2,2,759,m²,House,Sold on 28 Nov 2017
"6 Freycinet Place, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126857330,https://i2.au.reastatic.net/340x64/4252dc29805927c5efdae5c9cfbd12b6a12dbe3323a7d42dc635456ee4a03799/logo.jpg,Johnson Teo,https://i2.au.reastatic.net/150x200/dfeeed6d65bde237f8ef93c682e146bdbda1bdf38903de24feee9eaeb6d55997/main.jpg,Sold,"$742,000",4,2,4,,m²,House,Sold on 27 Nov 2017
"38/88 Shelduck Pl, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-124619946,https://i2.au.reastatic.net/340x64/56f75016168e20802930f5db3debf369072e595ef4030eff6f692883ab48a032/logo.jpg,,,Sold,"$382,000",3,2,2,152,m²,Townhouse,Sold on 21 Nov 2017
"15/200 Kameruka Street, Calamvale",https://www.realestate.com.au/sold/property-townhouse-qld-calamvale-126597050,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Jackson Chow,https://i2.au.reastatic.net/150x200/4a6873ec60a3c421dadb9835ca1e139a3de77b6b3d1f5a181424e06a9896ff92/main.jpg,Sold,"$328,888",3,2,2,229,m²,Townhouse,Sold on 20 Nov 2017
"70 Reardon Street, Calamvale",https://www.realestate.com.au/sold/property-house-qld-calamvale-126443562,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Jonathan Wang,https://i2.au.reastatic.net/150x200/b9798c397d4249c4d43a81aca0740057f14eedb9d9bbb499a68efa0f4704320b/main.jpg,Sold,"$550,000",3,2,2,459,m²,House,Sold on 16 Nov 2017
