Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"6 Yvonne Court, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-132194658,https://i2.au.reastatic.net/340x64/5189ecc0d52fa13cb364635d9aeb8b628e45acfea27eb8a18e6d42cfc047cc2b/logo.jpg,Happy Helen,https://i2.au.reastatic.net/150x200/ea168175cc1ecd3e08f84c564db3832d8989da2338d3d75e7b53c7e089965630/main.jpg,Sold,"$720,000",4,3,2,700,m²,House,Sold on 31 Jan 2020
"48 St patrick Avenue, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-132641870,https://i2.au.reastatic.net/340x64/94a68dc77119e4fcd38eff2ce2d375ae09f70c4a0d0f8e0108111a0f883f7c4f/logo.jpg,Olive King,https://i2.au.reastatic.net/150x200/1ba60cf2cd8a8f954ecd4361da46d1446bed24e2f91d5b89290048261799c638/main.jpg,Sold,"$280,000",2,1,1,405,m²,House,Sold on 24 Jan 2020
"24 Mallan Place, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-132076770,https://i2.au.reastatic.net/340x64/4252dc29805927c5efdae5c9cfbd12b6a12dbe3323a7d42dc635456ee4a03799/logo.jpg,Faraz Peyman,https://i2.au.reastatic.net/150x200/51439dbe736e205335fb3c4b5a3e535e63978652538d0edefe7cb6e460d7f707/main.jpg,Sold,"$548,000",4,2,4,542,m²,House,Sold on 22 Jan 2020
"23 Goulburn Place, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-132567550,https://i2.au.reastatic.net/340x64/4252dc29805927c5efdae5c9cfbd12b6a12dbe3323a7d42dc635456ee4a03799/logo.jpg,Faraz Peyman,https://i2.au.reastatic.net/150x200/51439dbe736e205335fb3c4b5a3e535e63978652538d0edefe7cb6e460d7f707/main.jpg,Sold,"$585,000",4,2,5,800,m²,House,Sold on 21 Jan 2020
"36 Altoft Street, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-132103982,https://i2.au.reastatic.net/340x64/5189ecc0d52fa13cb364635d9aeb8b628e45acfea27eb8a18e6d42cfc047cc2b/logo.jpg,Happy Helen,https://i2.au.reastatic.net/150x200/ea168175cc1ecd3e08f84c564db3832d8989da2338d3d75e7b53c7e089965630/main.jpg,Sold,"$850,000",6,3,2,691,m²,House,Sold on 15 Jan 2020
"6 Wild Cotton Close, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-132031638,https://i2.au.reastatic.net/340x64/4252dc29805927c5efdae5c9cfbd12b6a12dbe3323a7d42dc635456ee4a03799/logo.jpg,Faraz Peyman,https://i2.au.reastatic.net/150x200/51439dbe736e205335fb3c4b5a3e535e63978652538d0edefe7cb6e460d7f707/main.jpg,Sold,"$670,000",4,2,3,800,m²,House,Sold on 13 Jan 2020
"27/2A Alpita Street, Kuraby",https://www.realestate.com.au/sold/property-townhouse-qld-kuraby-132720918,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ela Milne,https://i2.au.reastatic.net/150x200/fdd2bea0f4b8eb79cfa4c0c54670ecea5d761c92b5612d97863c2f145ee1d54f/main.jpg,Sold,"$280,000",3,2,1,,,Townhouse,Sold on 12 Jan 2020
"66 Allbutt Street, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-132317566,https://i2.au.reastatic.net/340x64/4252dc29805927c5efdae5c9cfbd12b6a12dbe3323a7d42dc635456ee4a03799/logo.jpg,Faraz Peyman,https://i2.au.reastatic.net/150x200/51439dbe736e205335fb3c4b5a3e535e63978652538d0edefe7cb6e460d7f707/main.jpg,Sold,"$432,000",3,1,4,610,m²,House,Sold on 07 Jan 2020
"8 Hatia Place, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-132318226,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Michelle Lee,https://i2.au.reastatic.net/150x200/85adb4edf7c09aed38a78e3f255a85902e691e1d4b88e9072a9ba0c58b00af0b/main.jpg,Sold,"$865,000",5,3,2,644,m²,House,Sold on 30 Dec 2019
"23 Lema Circuit, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-132309990,https://i2.au.reastatic.net/340x64/5189ecc0d52fa13cb364635d9aeb8b628e45acfea27eb8a18e6d42cfc047cc2b/logo.jpg,Happy Helen,https://i2.au.reastatic.net/150x200/ea168175cc1ecd3e08f84c564db3832d8989da2338d3d75e7b53c7e089965630/main.jpg,Sold,"$640,000",4,2,2,605,m²,House,Sold on 20 Dec 2019
"37 Voyager Drive, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-131880226,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Zishaan Omar,https://i2.au.reastatic.net/150x200/69a4fec09f67030e7d7d0ddf31b84beb7c9fcfc1d6930e729d046deaf2a5f369/main.jpg,Sold,"$780,000",4,3,2,481,m²,House,Sold on 06 Dec 2019
"14/106 St Andrew Street, Kuraby",https://www.realestate.com.au/sold/property-townhouse-qld-kuraby-129898002,https://i2.au.reastatic.net/340x64/7f0b88f7ac3214435154340783c9d63880b9351a4835900828ce8ea4262ffad5/logo.jpg,Ross Bischoff,https://i2.au.reastatic.net/150x200/4e6cd65493450588bdde77fde3717c5ad7be4ab893979d5e090ad7654ad9e85e/main.jpg,Sold,"$235,000",3,1,1,,m²,Townhouse,Sold on 04 Dec 2019
"8 Annie Place, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-132163806,"data:image/svg+xml;base64,PHN2ZyB4bWxucz0iaHR0cDovL3d3dy53My5vcmcvMjAwMC9zdmciIHdpZHRoPSIxNzAiIGhlaWdodD0iMzIiPjwvc3ZnPgo=",Simon Au,https://i2.au.reastatic.net/150x200/6ba7ceb98ad23223a0789aaf7729e20d0baf8a52b61ef8c12ae591212996d0da/main.jpg,Sold,"$830,000",5,3,2,619,m²,House,Sold on 02 Dec 2019
"38/48 Pengam Street, Kuraby",https://www.realestate.com.au/sold/property-townhouse-qld-kuraby-132428290,https://i2.au.reastatic.net/340x64/6aaba0b58332eeb1b01f9aaf5c19bcbb8744b8afb16b9d95f6955dd0f02d0e57/logo.gif,Harman Jolly,https://i2.au.reastatic.net/150x200/fa9c583b2d7c6a857b924b7346c188546893c8f20786dbc69b74154e5626a00a/main.jpg,Sold,"$298,000",3,2,1,,,Townhouse,Sold on 02 Dec 2019
"10 Oakmont Close, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-130532426,https://i2.au.reastatic.net/340x64/72065f86a98a17150e26e3f853917195eccd8c1532b149724531cc4f232ffe53/logo.jpg,Glenn Bool,https://i2.au.reastatic.net/150x200/8b97751ed52e8f3589d481e3f76e1a677946b05abf10810e5000e8831521fa73/main.jpg,Sold,"$1,070,000",5,3,2,,,House,Sold on 28 Nov 2019
"26/84 St Andrew Street, Kuraby",https://www.realestate.com.au/sold/property-townhouse-qld-kuraby-130681970,https://i2.au.reastatic.net/340x64/12413ba02257f6352476748ea790765886a2684246663c944c30b9fb499819da/logo.gif,Marvin Wong,https://i2.au.reastatic.net/150x200/9122fc53debeca7cfe979eb3748f114ee96d219b3d87a1dfe3e31f4cf2a1a117/main.jpg,Sold,"$290,000",3,1,1,171,m²,Townhouse,Sold on 27 Nov 2019
"12 Bogong Place, Kuraby",https://www.realestate.com.au/sold/property-house-qld-kuraby-129682898,https://i2.au.reastatic.net/340x64/5fb6e440ecdc2f8146d8f3703e8208963979b961e0c9881accb575d8a5a76515/logo.jpg,Anil Ojeswi,https://i2.au.reastatic.net/150x200/3c9bd775e6eb73d11758c329df6a3a7a3f33ad5e734edbd80d89b37c54b9b7e3/main.jpg,Sold,"$610,000",4,2,2,612,m²,House,Sold on 25 Nov 2019
