Address,Property_Info,Agent_logo,Agent,Agent_photo,Status,Price,Bedrooms,Bathrooms,Car_park,Size,Size_unit,Type,Sold_date
"11 Cotswold Pl, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-128359110,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Grant Boman,https://i2.au.reastatic.net/150x200/5f5fb3cd037a390021054b4549e9ea560765fa351226c1588d7bc4126cf6bbbc/main.jpg,Sold,"$1,045,000",4,2,2,719,m²,House,Sold on 07 Jun 2018
"32 Midwood Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127650462,https://i2.au.reastatic.net/340x64/2428f5b556d11b8b8ee508f0bcdeb2adea5a3c3ef28b644ee667331ecb3bf81d/logo.gif,Andrew Oostenbrink,https://i2.au.reastatic.net/150x200/3d3d60c3eae62ab3d9f5c56eab59cb530db5d063d81b100dab6d7f183c8e38f2/main.jpg,Sold,"$900,000",5,3,4,816,m²,House,Sold on 05 Jun 2018
"39 Montreal Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-128143346,https://i2.au.reastatic.net/340x64/4a9791117ac72a5613bdb069ee4504814707d3fe22b1d5da82af90b8029d0a1f/logo.jpg,,,Sold,"$750,000",5,2,2,667,m²,House,Sold on 01 Jun 2018
"21 Greenwood Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-128194874,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Tony Langanis,https://i2.au.reastatic.net/150x200/296da3fd5738bc86246ed850872c3467bf6f805be444b1c46287f35764baf019/main.jpg,Sold,"$850,000",4,3,2,590,m²,House,Sold on 22 May 2018
"23 Avenell Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127987874,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Peter Florentzos,https://i2.au.reastatic.net/150x200/84ea12367769ad5dbeb41bbefb7309721995ae91c7f6a2b1a5020cd2fc86afde/main.jpg,Sold,"$635,000",3,1,2,547,m²,House,Sold on 21 May 2018
"12 Tapscott Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127810118,https://i2.au.reastatic.net/340x64/2428f5b556d11b8b8ee508f0bcdeb2adea5a3c3ef28b644ee667331ecb3bf81d/logo.gif,,,Sold,"$702,030",3,2,2,638,m²,House,Sold on 20 May 2018
"67 Norfolk Place, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127944810,https://i2.au.reastatic.net/340x64/2428f5b556d11b8b8ee508f0bcdeb2adea5a3c3ef28b644ee667331ecb3bf81d/logo.gif,,,Sold,"$900,000",5,3,2,721,m²,House,Sold on 17 May 2018
"571 Mount Gravatt - Capalaba Road, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-128125214,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ken Chin,https://i2.au.reastatic.net/150x200/a77f0e349b4d7fd48849531a42f35ca73c5a2f7139185f1105d7618618ccdc38/main.jpg,Sold,"$521,000",3,2,2,636,m²,House,Sold on 12 May 2018
"45 Frinton Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127955222,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,,,Sold,"$615,006",3,1,1,646,m²,House,Sold on 10 May 2018
"8 Gilgo Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-128353734,https://i2.au.reastatic.net/340x64/3fbb0a1151f78609d030b6d209df92eb1f048c70a965d23618004befe58575a8/logo.jpg,Brad Sissons,https://i2.au.reastatic.net/150x200/34b770ac2cad166439b13557cf4d23c4790d6e3c356946b2e4216e3ddb2a25a1/main.jpg,Sold,"$795,000",4,2,2,600,m²,House,Sold on 09 May 2018
"43 Holder Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127833698,https://i2.au.reastatic.net/340x64/d1cf2a5de194107cdafdefb35d4e8ae80cd78c9cd07a60d0550eef0a6a5d21d9/logo.jpg,,,Sold,"$592,000",3,1,2,607,m²,House,Sold on 08 May 2018
"Unit 25/10 Adrian Place, Wishart",https://www.realestate.com.au/sold/property-townhouse-qld-wishart-127703210,https://i2.au.reastatic.net/340x64/4a9791117ac72a5613bdb069ee4504814707d3fe22b1d5da82af90b8029d0a1f/logo.jpg,,,Sold,"$367,000",2,1,1,,,Townhouse,Sold on 02 May 2018
"3 Magenta Place, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-128111974,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Julie Weir,https://i2.au.reastatic.net/150x200/2446d5672d0b8b0f99509ea2e0722484b5c498cf4b6350f08ac76dd602a444da/main.jpg,Sold,"$910,000",4,2,2,648,m²,House,Sold on 30 Apr 2018
"30/10 Adrian Place, Wishart",https://www.realestate.com.au/sold/property-townhouse-qld-wishart-128139634,https://i2.au.reastatic.net/340x64/6d60aaa5dd85c1d445c5f5f78eceefc9f2f46e04324698e74140fcfc33ea727a/logo.jpg,Jonah Burrell,https://i2.au.reastatic.net/150x200/0b4248e50562e2d9b46b0362a386046348d4b8e5a3ee65f8b2b97fe8f4c82b9d/main.jpg,Sold,"$380,000",3,2,1,,,Townhouse,Sold on 30 Apr 2018
"90 Delavan Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127726534,https://i2.au.reastatic.net/340x64/f4011f67b87f98df550e75d8fdc985ae630102b7ea1c29697c5e985c1367bcf8/logo.jpg,Joel Ruge,https://i2.au.reastatic.net/150x200/2d4784bb54700ef3f7c8348223931e8787b69ca0fe962c419999d54688aefad0/main.jpg,Sold,"$690,000",3,1,2,,,House,Sold on 12 Apr 2018
"28 Montreal Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127677686,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Brian Shin,https://i2.au.reastatic.net/150x200/795fadbb47fabe0c53b4573c75511ecdbb92860e4b202970045a2b57f35b5ff2/main.jpg,Sold,"$685,000",3,2,2,604,m²,House,Sold on 09 Apr 2018
"14 Andalucia Court, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127635230,https://i2.au.reastatic.net/340x64/4a9791117ac72a5613bdb069ee4504814707d3fe22b1d5da82af90b8029d0a1f/logo.jpg,,,Sold,"$884,000",4,3,2,"1,100",m²,House,Sold on 03 Apr 2018
"82 Kavanagh Road, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127385746,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Kosma Comino,https://i2.au.reastatic.net/150x200/2b7e92980c28d288ee3d07a0c0b432d367cc09cfd92f9b27133e385899480932/main.jpg,Sold,"$847,500",4,2,4,713,m²,House,Sold on 03 Apr 2018
"581 Mt Gravatt-Capalaba Road, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127471430,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Wayne Morgan,https://i2.au.reastatic.net/150x200/fafc9e5ef13113b2dd5b4787478421b9b80c2bb127bbfe413f3e844f6feabfd8/main.jpg,Sold,"$480,000",6,3,2,641,m²,House,Sold on 27 Mar 2018
"20/10 Adrian Place, Wishart",https://www.realestate.com.au/sold/property-townhouse-qld-wishart-127490158,https://i2.au.reastatic.net/340x64/d4ded41d2664e18bfcb62094f856fd407969a8d2ac3e37ea76924a497624a3cb/logo.jpg,Ken Chin,https://i2.au.reastatic.net/150x200/a77f0e349b4d7fd48849531a42f35ca73c5a2f7139185f1105d7618618ccdc38/main.jpg,Sold,"$366,000",2,1,1,,,Townhouse,Sold on 27 Mar 2018
"10 Malmrose Street, Wishart",https://www.realestate.com.au/sold/property-house-qld-wishart-127379542,https://i2.au.reastatic.net/340x64/1a0238d49b4287a38de938faf33230ba9e13ac15242c8dbe67687c742a9cd914/logo.jpg,Kosma Comino,https://i2.au.reastatic.net/150x200/2b7e92980c28d288ee3d07a0c0b432d367cc09cfd92f9b27133e385899480932/main.jpg,Sold,"$605,000",3,1,1,546,m²,House,Sold on 26 Mar 2018
